Track name,artists
The Motherload,Mastodon
Shogun,Trivium
Hearts Burst into Fire,Bullet For My Valentine
Welcome To The Jungle,Guns N' Roses
Halo,Machine Head
"Metropolis - Part I: ""The Miracle and the Sleeper""",Dream Theater
Now You've Got Something to Die For - Live Album Version,Lamb of God
Science,System Of A Down
Power,Helloween
The Pot,TOOL
A Change of Seasons - The Crimson Sunrise,Dream Theater
Make It Real,Scorpions
She Rides,Danzig
As I Am,Dream Theater
Lazy,Deep Purple
(We Are) The Road Crew (Live at Hammersmith),Motörhead
Unholy Confessions,Avenged Sevenfold
A New Level,Pantera
Mr. Crowley,Ozzy Osbourne
A Gunshot to the Head of Trepidation,Trivium
A Dying God Coming into Human Flesh,Celtic Frost
Edge of Thorns,Savatage
Oblivion,Mastodon
Big Empty,Stone Temple Pilots
Tears of the Dragon - 2001 Remaster,Bruce Dickinson
Burn in Hell,Twisted Sister
Burnin' for You,Blue Oyster Cult
Hysteria,Def Leppard
"In League with Satan (7"" Version)",Venom
Nemo,Nightwish
Lola Montez,Volbeat
Trust,Megadeth
Panic Attack,Dream Theater
War of Words,Rob Halford
Parabola,TOOL
Imagine,A Perfect Circle
Heroes of Our Time,DragonForce
Aces High,Iron Maiden
Rock Is Dead,Marilyn Manson
B.Y.O.B.,System Of A Down
Since You Been Gone,Rainbow
Bad Company,Five Finger Death Punch
The Hellion,Judas Priest
Slide It In,Whitesnake

